Id,Habitaciones,banos,Parqueaderos,area_construida,area_privada,Estrato,antigüedad,piso_No,administracion,precio m,transaccion,Precio,Barrio,Ciudad,Tipo de apartamento,Estado,Link,antigüedad_ad,tipo inmueble
1946,No definida,1,No definida,133,0,3,1630,No definida,No definida,No definida,Arriendo,5950000,la capuchina,Bogota,No definida,No definida,/inmueble/local-en-arriendo/la-capuchina/bogota/10139397,16 a 30 años,Local
1947,No definida,1,No definida,38,0,3,915,No definida,No definida,No definida,Arriendo,1050000,santa rosa,Bogota,No definida,Bueno,/inmueble/local-en-arriendo/santa-rosa/bogota/7389929,9 a 15 años,Local
1948,No definida,5,2,375,0,4,18,3,No definida,No definida,Arriendo,14000000,samper,Bogota,No definida,No definida,/inmueble/oficina-en-arriendo/samper/bogota/10142078,1 a 8 años,Oficina
1949,No definida,10,5,1150,555,3,18,No definida,No definida,No definida,Arriendo,30000000,la merced norte,Bogota,No definida,No definida,/inmueble/edificio-en-arriendo/la-merced-norte/bogota/8035980,1 a 8 años,Edificio
1950,No definida,4,10,1200,1200,3,915,No definida,No definida,No definida,Arriendo,35000000,barrios unidos,Bogota,No definida,No definida,/inmueble/local-en-arriendo/barrios-unidos/bogota/8072171,9 a 15 años,Local
1951,No definida,6,No definida,852,852,3,18,No definida,No definida,No definida,Arriendo,18000000,toberin,Bogota,No definida,No definida,/inmueble/edificio-en-arriendo/toberin/bogota/8081322,1 a 8 años,Edificio
1952,No definida,2,2,520,520,3,1630,No definida,No definida,No definida,Arriendo,12000000,niza suba,Bogota,No definida,No definida,/inmueble/local-en-arriendo/niza-suba/bogota/8064835,16 a 30 años,Local
1953,2,2,2,74,0,5,30,No definida,490000,No definida,Arriendo,2900000,bella suiza,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/bella-suiza/bogota/8093163,mas de 30 años,Apartamento
1954,No definida,10,6,1800,535,6,1630,No definida,No definida,No definida,Arriendo,50000000,chapinero,Bogota,No definida,No definida,/inmueble/edificio-en-arriendo/chapinero/bogota/8052253,16 a 30 años,Edificio
1955,No definida,5,No definida,1265,1265,3,1630,No definida,No definida,No definida,Arriendo,32000000,montevideo,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/montevideo/bogota/8060799,16 a 30 años,Bodega
1956,No definida,6,No definida,900,900,6,915,No definida,No definida,No definida,Arriendo,21000000,fontibon,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/fontibon/bogota/8064019,9 a 15 años,Bodega
1957,No definida,4,No definida,1200,0,3,915,1,1000000,No definida,Arriendo,16000000,fontibon,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/fontibon/bogota/10120377,9 a 15 años,Bodega
1958,No definida,1,No definida,52,0,3,18,No definida,No definida,No definida,Arriendo,2200000,marly,Bogota,No definida,No definida,/inmueble/local-en-arriendo/marly/bogota/10123022,1 a 8 años,Local
1959,No definida,2,No definida,115,115,3,1,No definida,No definida,No definida,Arriendo,5000000,las ferias,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/las-ferias/bogota/8025174,menos de 1 año,Bodega
1960,No definida,4,No definida,618,618,3,18,No definida,900000,No definida,Arriendo,21000000,el dorado,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/el-dorado/bogota/8086557,1 a 8 años,Bodega
1961,No definida,6,No definida,1000,680,2,1630,No definida,No definida,No definida,Arriendo,18000000,fontibon,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/fontibon/bogota/8100161,16 a 30 años,Bodega
1962,11,7,10,500,500,4,30,No definida,No definida,No definida,Arriendo,10000000,polo club,Bogota,No definida,No definida,/inmueble/casa-en-arriendo/polo-club/bogota/8088355,mas de 30 años,Casa
1963,3,4,2,125,125,6,18,5,No definida,No definida,Arriendo,5500000,santa paula,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/santa-paula/bogota/10109741,1 a 8 años,Apartamento
1964,5,5,3,350,0,4,18,2,No definida,No definida,Arriendo,4800000,modelia occidental,Bogota,No definida,No definida,/inmueble/casa-en-arriendo/modelia-occidental/bogota/10120945,1 a 8 años,Casa
1965,No definida,2,No definida,257,257,3,18,No definida,No definida,No definida,Arriendo,12000000,alcazares norte,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/alcazares-norte/bogota/8032497,1 a 8 años,Bodega
1966,No definida,8,No definida,1100,1100,2,1630,No definida,No definida,No definida,Arriendo,20000000,la estancia,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/la-estancia/bogota/8023290,16 a 30 años,Bodega
1967,4,2,1,75,75,3,1630,3,No definida,No definida,Arriendo,1650000,nueva zelandia,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/nueva-zelandia/bogota/10115889,16 a 30 años,Apartamento
1968,No definida,7,No definida,11044,11044,3,1,No definida,No definida,No definida,Arriendo,210000000,montevideo,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/montevideo/bogota/8048569,menos de 1 año,Bodega
1969,No definida,5,No definida,1100,0,3,915,2,No definida,No definida,Arriendo,19000000,engativa,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/engativa/bogota/10117737,9 a 15 años,Bodega
1970,1,1,1,40,0,4,18,Otro,No definida,No definida,Arriendo,1720000,las nieves,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/las-nieves/bogota/10087524,1 a 8 años,Apartamento
1971,No definida,No definida,No definida,2034,2034,3,915,No definida,No definida,No definida,Arriendo,48000000,toberin,Bogota,No definida,No definida,/inmueble/edificio-en-arriendo/toberin/bogota/8081264,9 a 15 años,Edificio
1972,No definida,6,No definida,1348,1348,3,915,No definida,No definida,No definida,Arriendo,25000000,puente aranda,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/puente-aranda/bogota/8081099,9 a 15 años,Bodega
1973,No definida,6,No definida,861,861,3,915,No definida,No definida,No definida,Arriendo,22000000,toberin,Bogota,No definida,No definida,/inmueble/edificio-en-arriendo/toberin/bogota/8081338,9 a 15 años,Edificio
1974,3,3,2,132,123,4,18,3,No definida,No definida,Arriendo,2800000,sotavento,Bogota,No definida,No definida,/inmueble/casa-en-arriendo/sotavento/bogota/10105576,1 a 8 años,Casa
1975,1,1,1,50,50,5,1630,1,No definida,No definida,Arriendo,2000000,santa barbara occidental,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/santa-barbara-occidental/bogota/10099832,16 a 30 años,Apartamento
1976,3,2,2,94,94,5,18,12,No definida,No definida,Arriendo,3550000,andes norte,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/andes-norte/bogota/10118026,1 a 8 años,Apartamento
1977,5,3,2,200,200,4,30,No definida,No definida,No definida,Arriendo,6000000,santa ana occidental,Bogota,No definida,Excelente,/inmueble/casa-en-arriendo/santa-ana-occidental/bogota/7823970,mas de 30 años,Casa
1978,No definida,1,No definida,70,0,2,18,No definida,No definida,No definida,Arriendo,2800000,centro americas,Bogota,No definida,No definida,/inmueble/local-en-arriendo/centro-americas/bogota/10133136,1 a 8 años,Local
1979,No definida,No definida,10,1957,1952,6,18,2,6625540,No definida,Arriendo,127249000,chapinero,Bogota,No definida,No definida,/inmueble/oficina-en-arriendo/chapinero/bogota/8018884,1 a 8 años,Oficina
1980,3,3,1,73.7,0,4,1630,4,No definida,No definida,Arriendo,2000000,nuevo contry,Bogota,Loft,No definida,/inmueble/apartamento-en-arriendo/nuevo-contry/bogota/10126120,16 a 30 años,Apartamento
1981,2,2,No definida,60,60,3,1630,No definida,No definida,No definida,Arriendo,800000,florida blanca,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/florida-blanca/bogota/7960679,16 a 30 años,Apartamento
1982,No definida,6,No definida,2950,2950,3,915,No definida,No definida,No definida,Arriendo,70000000,toberin,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/toberin/bogota/8081197,9 a 15 años,Bodega
1983,No definida,8,No definida,2480,2480,3,1630,No definida,No definida,No definida,Arriendo,52000000,montevideo,Bogota,No definida,No definida,/inmueble/bodega-en-arriendo/montevideo/bogota/8059535,16 a 30 años,Bodega
1984,4,4,3,450,305,6,1630,No definida,550000,No definida,Arriendo,8500000,san jose de bavaria,Bogota,No definida,No definida,/inmueble/casa-en-arriendo/san-jose-de-bavaria/bogota/8092703,16 a 30 años,Casa
1985,3,5,4,204,0,6,18,4,No definida,No definida,Arriendo,14500000,el virrey,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/el-virrey/bogota/10101812,1 a 8 años,Apartamento
1986,1,1,No definida,40,40,3,1,5,No definida,No definida,Arriendo,1200000,claret,Bogota,No definida,Excelente,/inmueble/apartamento-en-arriendo/claret/bogota/7287042,menos de 1 año,Apartamento
1987,4,3,No definida,155,160,3,30,2,No definida,No definida,Arriendo,1300000,san cristobal norte,Bogota,No definida,Bueno,/inmueble/casa-en-arriendo/san-cristobal-norte/bogota/7376457,mas de 30 años,Casa
1988,1,1,No definida,45,45,1,1,1,290000,No definida,Arriendo,1700000,teusaquillo,Bogota,No definida,Excelente,/inmueble/apartamento-en-arriendo/teusaquillo/bogota/7857526,menos de 1 año,Apartamento
1989,2,4,2,154,0,6,915,3,2030000,No definida,Arriendo,7000000,chico reservado,Bogota,Duplex,No definida,/inmueble/apartamento-en-arriendo/chico-reservado/bogota/10118112,9 a 15 años,Apartamento
1990,1,1,1,63,63,6,1630,6,No definida,No definida,Arriendo,3200000,emaus,Bogota,Loft,No definida,/inmueble/apartamento-en-arriendo/emaus/bogota/10125181,16 a 30 años,Apartamento
1991,6,5,2,286,0,4,1630,3,No definida,No definida,Arriendo,5000000,nicolas de federman,Bogota,No definida,No definida,/inmueble/casa-en-arriendo/nicolas-de-federman/bogota/10125369,16 a 30 años,Casa
1992,3,3,1,100,100,4,1630,2,No definida,No definida,Arriendo,2500000,cedro golf,Bogota,No definida,No definida,/inmueble/apartamento-en-arriendo/cedro-golf/bogota/10113260,16 a 30 años,Apartamento
1993,No definida,2,No definida,600,600,3,1630,No definida,No definida,No definida,Arriendo,25000000,chico norte iii,Bogota,No definida,No definida,/inmueble/local-en-arriendo/chico-norte-iii/bogota/8081303,16 a 30 años,Local
