Id,Habitaciones,banos,Parqueaderos,area_construida,area_privada,Estrato,antigüedad,piso_No,administracion,precio m,transaccion,Precio,Barrio,Ciudad,Tipo de apartamento,Estado,Link,antigüedad_ad,tipo inmueble
1,3,5,2,177,177,5,915,8,860000,9887005.65,Venta,1750000000,el virrey,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/el-virrey/bogota/7584613,9 a 15 años,Apartamento
2,3,3,3,100.2,0,5,1630,4,550000,5688622.75,Venta,570000000,calleja baja,Bogota,PentHouse,No definida,/inmueble/apartamento-en-venta/calleja-baja/bogota/10078389,16 a 30 años,Apartamento
3,2,3,1,88,88,4,915,No definida,No definida,5340909.09,Venta,470000000,cedritos,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/cedritos/bogota/7994158,9 a 15 años,Apartamento
4,3,2,No definida,62,0,0,No definida,No definida,No definida,2419354.84,Venta,150000000,bosa recreo,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/bosa-recreo/bogota/7747489,No definida,Apartamento
5,3,5,6,296,296,6,18,No definida,No definida,7770270.27,Venta,2300000000,provenza,Bogota,No definida,No definida,/inmueble/casa-en-venta/provenza/bogota/6991668,1 a 8 años,Casa
6,3,1,No definida,43.46,43.46,2,915,4,57000,3451449.61,Venta,150000000,bosa chicala,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/bosa-chicala/bogota/10139621,9 a 15 años,Apartamento
7,3,3,2,200,0,5,No definida,No definida,No definida,5500000,Venta,1100000000,desconocido,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/desconocido/bogota/3240216,No definida,Apartamento
8,3,4,2,115,115,5,18,No definida,689000,9565217.39,Venta,1100000000,santa paula,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/santa-paula/bogota/8045367,1 a 8 años,Apartamento
9,1,2,1,66,66,6,18,3,400000,8787878.79,Venta,580000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/8081387,1 a 8 años,Apartamento
10,2,1,1,69,69,3,30,No definida,207000,4347826.09,Venta,300000000,teusaquillo,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/teusaquillo/bogota/8089297,mas de 30 años,Apartamento
11,2,2,2,102,102,6,30,4,816000,6372549.02,Venta,650000000,la cabrera,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/la-cabrera/bogota/7908491,mas de 30 años,Apartamento
12,3,3,2,180,0,6,No definida,No definida,No definida,6388888.89,Venta,1150000000,desconocido,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/desconocido/bogota/3240852,No definida,Apartamento
13,2,2,2,110,110,4,915,4,600000,6545454.55,Venta,720000000,chapinero alto,Bogota,Duplex,Bueno,/inmueble/apartamento-en-venta/chapinero-alto/bogota/8065118,9 a 15 años,Apartamento
14,3,3,2,93,93,6,1630,7,790000,6129032.26,Venta,570000000,el virrey,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7981882,16 a 30 años,Apartamento
15,1,1,1,66,66,6,18,2,500000,8181818.18,Venta,540000000,el virrey,Bogota,Loft,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7980586,1 a 8 años,Apartamento
16,2,2,1,57,57,5,No definida,7,No definida,6666666.67,Venta,380000000,la calleja,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/la-calleja/bogota/8120067,No definida,Apartamento
17,2,2,1,80,80,6,1630,3,846000,6125000,Venta,490000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7903436,16 a 30 años,Apartamento
18,3,3,2,168,168,6,30,8,1060000,5446428.57,Venta,915000000,chico,Bogota,Duplex,Bueno,/inmueble/apartamento-en-venta/chico/bogota/8133212,mas de 30 años,Apartamento
19,6,3,1,400,400,3,1630,3,No definida,2075000,Venta,830000000,la trinidad,Bogota,No definida,No definida,/inmueble/casa-en-venta/la-trinidad/bogota/10132160,16 a 30 años,Casa
20,2,3,2,140,140,6,18,7,1138000,8564285.71,Venta,1199000000,los rosales,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/los-rosales/bogota/8081404,1 a 8 años,Apartamento
21,3,4,2,241,241,6,30,6,866000,5435684.65,Venta,1310000000,multicentro,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/multicentro/bogota/8047974,mas de 30 años,Apartamento
22,1,2,1,60,60,6,18,3,370000,9333333.33,Venta,560000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/8047892,1 a 8 años,Apartamento
23,No definida,No definida,No definida,1500,1500,6,1,No definida,No definida,100000,Venta,150000000,la calera,Bogota,No definida,No definida,/inmueble/lote-en-venta/la-calera/bogota/8133342,menos de 1 año,Lote
24,3,2,1,127,127,4,1630,No definida,540000,5433070.87,Venta,Precio total (COP),nicolas de federman,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/nicolas-de-federman/bogota/7469436,16 a 30 años,Apartamento
25,3,3,2,196,196,5,18,2,780000,6887755.1,Venta,1350000000,la calleja,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/la-calleja/bogota/8134140,1 a 8 años,Apartamento
26,5,3,1,250,250,3,No definida,No definida,No definida,2200000,Venta,550000000,timiza,Bogota,No definida,No definida,/inmueble/casa-en-venta/timiza/bogota/8061851,No definida,Casa
27,3,3,2,167,167,6,1630,No definida,700000,7185628.74,Venta,1200000000,san patricio,Bogota,No definida,No definida,/inmueble/casa-en-venta/san-patricio/bogota/8126800,16 a 30 años,Casa
28,4,6,4,342,342,6,1630,5,1500000,4941520.47,Venta,1690000000,santa barbara,Bogota,Duplex,Bueno,/inmueble/apartamento-en-venta/santa-barbara/bogota/8065594,16 a 30 años,Apartamento
29,3,3,1,164,164,6,30,10,825000,5182926.83,Venta,850000000,chapinero alto,Bogota,Duplex,Bueno,/inmueble/apartamento-en-venta/chapinero-alto/bogota/8065141,mas de 30 años,Apartamento
30,4,4,2,159,0,5,1630,No definida,200000,3867924.53,Venta,615000000,san nicolas,Bogota,No definida,No definida,/inmueble/casa-en-venta/san-nicolas/bogota/10129626,16 a 30 años,Casa
31,2,2,2,112,112,6,915,2,750000,7767857.14,Venta,870000000,chico norte,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/chico-norte/bogota/10096650,9 a 15 años,Apartamento
32,3,2,1,104,104,4,1630,5,317000,5240384.62,Venta,545000000,tarragona del salitre et ii,Bogota,Duplex,No definida,/inmueble/apartamento-en-venta/tarragona-del-salitre-et-ii/bogota/10141181,16 a 30 años,Apartamento
33,3,3,4,168,139.8,4,30,2,No definida,6547619.05,Venta,1100000000,centro administrativo occidental,Bogota,No definida,No definida,/inmueble/casa-en-venta/centro-administrativo-occidental/bogota/10137120,mas de 30 años,Casa
34,1,2,1,60,60,6,1630,4,500000,6166666.67,Venta,370000000,santa barbara,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/santa-barbara/bogota/7903268,16 a 30 años,Apartamento
35,3,5,3,200,200,6,1630,3,1000000,6450000,Venta,1290000000,la carolina,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/la-carolina/bogota/8047862,16 a 30 años,Apartamento
36,3,5,4,346,346,6,1630,1,1900000,8930635.84,Venta,3090000000,los rosales,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/los-rosales/bogota/7658365,16 a 30 años,Apartamento
37,3,2,1,75,68,5,1630,No definida,No definida,7066666.67,Venta,530000000,ciudad salitre suroriental,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/ciudad-salitre-suroriental/bogota/7338544,16 a 30 años,Apartamento
38,4,5,4,389,389,6,1630,6,2400000,3470437.02,Venta,1350000000,santa paula,Bogota,Duplex,Excelente,/inmueble/apartamento-en-venta/santa-paula/bogota/7185090,16 a 30 años,Apartamento
39,3,4,2,145,136,5,1630,2,959000,6413793.1,Venta,930000000,santa barbara,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/santa-barbara/bogota/8028456,16 a 30 años,Apartamento
40,3,3,2,190,190,6,30,3,680000,4315789.47,Venta,820000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/8044798,mas de 30 años,Apartamento
41,3,4,2,185,185,6,30,1,1189000,6756756.76,Venta,1250000000,el nogal,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/el-nogal/bogota/7963491,mas de 30 años,Apartamento
42,3,2,No definida,130,102,3,1630,No definida,No definida,3846153.85,Venta,500000000,san victorino,Bogota,No definida,No definida,/inmueble/casa-en-venta/san-victorino/bogota/8068485,16 a 30 años,Casa
43,2,1,No definida,46,40,3,30,No definida,No definida,3913043.48,Venta,180000000,veraguas,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/veraguas/bogota/7532014,mas de 30 años,Apartamento
44,5,6,4,355,355,6,915,4,1800000,5915492.96,Venta,2100000000,santa bibiana,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/santa-bibiana/bogota/7910458,9 a 15 años,Apartamento
45,3,3,1,127,127,5,1630,2,522000,5433070.87,Venta,690000000,nicolas de federman,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/nicolas-de-federman/bogota/6841908,16 a 30 años,Apartamento
46,3,3,No definida,67,42,2,915,No definida,No definida,3432835.82,Venta,230000000,tibabuyes,Bogota,No definida,No definida,/inmueble/casa-en-venta/tibabuyes/bogota/7469324,9 a 15 años,Casa
47,3,3,2,215,215,6,1630,2,885000,3953488.37,Venta,850000000,chico,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/chico/bogota/6725943,16 a 30 años,Apartamento
48,3,3,2,197,197,6,1630,5,700000,3959390.86,Venta,780000000,rincon del chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/rincon-del-chico/bogota/7909674,16 a 30 años,Apartamento
49,2,3,2,87,87,6,18,4,425000,8160919.54,Venta,710000000,santa paula,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/santa-paula/bogota/8052152,1 a 8 años,Apartamento
50,2,2,1,58,58,6,18,9,500000,11206896.55,Venta,650000000,chico norte,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico-norte/bogota/7646371,1 a 8 años,Apartamento
51,3,4,3,313,313,6,30,13,1750000,7348242.81,Venta,2300000000,el refugio,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/el-refugio/bogota/7003569,mas de 30 años,Apartamento
52,3,5,4,420,420,6,1630,1,1050000,3690476.19,Venta,1550000000,la carolina,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/la-carolina/bogota/7608477,16 a 30 años,Apartamento
53,4,4,3,175,175,6,30,3,1000000,5600000,Venta,980000000,la carolina,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/la-carolina/bogota/7906362,mas de 30 años,Apartamento
54,No definida,2,1,54,0,4,18,5,No definida,9000000,Venta,486000000,navarra,Bogota,No definida,Excelente,/inmueble/consultorio-en-venta/navarra/bogota/7004523,1 a 8 años,Consultorio
55,3,2,1,139,0,6,915,4,627000,4892086.33,Venta,Precio total (COP),fontibon,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/fontibon/bogota/7822671,9 a 15 años,Apartamento
56,2,3,2,68,68,5,18,4,546000,6691176.47,Venta,455000000,pasadena,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/pasadena/bogota/8048428,1 a 8 años,Apartamento
57,2,3,2,105,105,6,18,4,1089000,8190476.19,Venta,860000000,santa barbara,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/santa-barbara/bogota/8057858,1 a 8 años,Apartamento
58,3,5,2,232,232,6,1630,4,2000000,8620689.66,Venta,2000000000,montearroyo,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/montearroyo/bogota/8047989,16 a 30 años,Apartamento
59,3,4,3,318,318,6,18,12,1200000,5345911.95,Venta,1700000000,bella suiza,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/bella-suiza/bogota/8045854,1 a 8 años,Apartamento
60,3,3,2,107,107,4,915,2,335000,4439252.34,Venta,475000000,colina campestre,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/colina-campestre/bogota/7698905,9 a 15 años,Apartamento
61,3,2,2,89.13,83.34,4,1630,1,350000,9536631.89,Venta,850000000,ciudad salitre,Bogota,Loft,No definida,/inmueble/apartamento-en-venta/ciudad-salitre/bogota/10115656,16 a 30 años,Apartamento
62,1,2,1,50,50,3,18,2,133000,5200000,Venta,260000000,prado pinzon,Bogota,No definida,No definida,/inmueble/apartaestudio-en-venta/prado-pinzon/bogota/7851454,1 a 8 años,Apartaestudio
63,1,1,1,33,33,3,18,3,220000,6969696.97,Venta,230000000,chapinero,Bogota,Loft,No definida,/inmueble/apartamento-en-venta/chapinero/bogota/10037921,1 a 8 años,Apartamento
64,3,4,2,250,250,6,1630,5,500000,4980000,Venta,1245000000,san patricio,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/san-patricio/bogota/7927665,16 a 30 años,Apartamento
65,2,2,2,95,95,6,915,2,800000,5947368.42,Venta,565000000,chico,Bogota,Duplex,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7706059,9 a 15 años,Apartamento
66,2,2,2,72,72,6,1630,7,850000,6666666.67,Venta,480000000,el virrey,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7903416,16 a 30 años,Apartamento
67,4,3,2,148,148,5,No definida,No definida,700000,6081081.08,Venta,900000000,gratamira,Bogota,No definida,No definida,/inmueble/casa-en-venta/gratamira/bogota/7831421,No definida,Casa
68,3,2,2,89,89,4,No definida,1,450000,4101123.6,Venta,365000000,usaquen,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/usaquen/bogota/8004294,No definida,Apartamento
69,3,1,No definida,47,47,2,18,14,118750,2808510.64,Venta,132000000,tintalito,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/tintalito/bogota/7330788,1 a 8 años,Apartamento
70,3,4,2,171,171,6,915,6,1550000,8128654.97,Venta,1390000000,el virrey,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7762636,9 a 15 años,Apartamento
71,2,3,2,90,90,6,915,5,570000,7222222.22,Venta,650000000,la calleja,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/la-calleja/bogota/7997141,9 a 15 años,Apartamento
72,1,2,1,63,63,6,1630,3,530000,6269841.27,Venta,395000000,san patricio,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/san-patricio/bogota/7962987,16 a 30 años,Apartamento
73,3,2,3,210,210,6,1630,1,1264000,3714285.71,Venta,780000000,chico navarra,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico-navarra/bogota/7705897,16 a 30 años,Apartamento
74,2,1,1,44,44,6,18,3,400000,9772727.27,Venta,430000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7974964,1 a 8 años,Apartamento
75,2,2,2,110,110,6,915,3,674000,9045454.55,Venta,995000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7963604,9 a 15 años,Apartamento
76,5,6,3,575,575,6,30,5,3100000,4956521.74,Venta,2850000000,los rosales,Bogota,Duplex,Remodelado,/inmueble/apartamento-en-venta/los-rosales/bogota/7566353,mas de 30 años,Apartamento
77,3,3,2,157,157,6,915,3,1480000,7515923.57,Venta,1180000000,santa bibiana,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/santa-bibiana/bogota/7959032,9 a 15 años,Apartamento
78,2,2,1,82,82,6,915,3,790000,5853658.54,Venta,480000000,bosque calderon,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/bosque-calderon/bogota/7706191,9 a 15 años,Apartamento
79,2,2,2,133,133,6,915,5,1100000,8646616.54,Venta,1150000000,chapinero alto,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chapinero-alto/bogota/7775962,9 a 15 años,Apartamento
80,1,2,2,156,156,5,1630,1,850000,4743589.74,Venta,740000000,bella suiza,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/bella-suiza/bogota/7977543,16 a 30 años,Apartamento
81,3,3,3,199,199,6,1630,3,1173000,5527638.19,Venta,1100000000,bosque medina,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/bosque-medina/bogota/7965041,16 a 30 años,Apartamento
82,3,4,2,195,195,6,30,5,1000000,5051282.05,Venta,985000000,el retiro,Bogota,Duplex,Bueno,/inmueble/apartamento-en-venta/el-retiro/bogota/7994667,mas de 30 años,Apartamento
83,4,5,4,520,520,6,1630,2,No definida,8884615.38,Venta,4620000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7745192,16 a 30 años,Apartamento
84,2,4,2,138,138,6,30,1,1075000,3985507.25,Venta,550000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7980585,mas de 30 años,Apartamento
85,2,4,2,144,144,6,1630,4,1000000,5416666.67,Venta,780000000,chico norte,Bogota,Duplex,Bueno,/inmueble/apartamento-en-venta/chico-norte/bogota/7706148,16 a 30 años,Apartamento
86,3,3,2,130,130,5,18,3,564000,8923076.92,Venta,1160000000,la calleja,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/la-calleja/bogota/7616120,1 a 8 años,Apartamento
87,3,4,3,163,163,6,915,6,1500000,9631901.84,Venta,1570000000,chico norte,Bogota,Duplex,Bueno,/inmueble/apartamento-en-venta/chico-norte/bogota/7900055,9 a 15 años,Apartamento
88,2,2,1,58,58,6,18,5,500000,11724137.93,Venta,680000000,chico norte,Bogota,Loft,Bueno,/inmueble/apartamento-en-venta/chico-norte/bogota/7706125,1 a 8 años,Apartamento
89,2,3,2,91,91,6,1630,3,820000,7472527.47,Venta,680000000,san patricio,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/san-patricio/bogota/7972211,16 a 30 años,Apartamento
90,4,3,1,93,0,4,1630,2,520000,4462365.59,Venta,415000000,el campin,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/el-campin/bogota/10132194,16 a 30 años,Apartamento
91,3,1,No definida,45,42,2,915,3,58500,2666666.67,Venta,120000000,la cabana,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/la-cabana/bogota/10122032,9 a 15 años,Apartamento
92,3,3,2,100,91,5,915,No definida,702000,5700000,Venta,570000000,nueva autopista,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/nueva-autopista/bogota/7896792,9 a 15 años,Apartamento
93,2,2,1,60.572,0,4,915,2,No definida,5943340.16,Venta,360000000,bogota,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/bogota/bogota-dc/10138111,9 a 15 años,Apartamento
94,3,4,2,170,170,6,915,3,1000000,7058823.53,Venta,1200000000,altos de bella suiza,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/altos-de-bella-suiza/bogota/7841788,9 a 15 años,Apartamento
95,3,3,1,90,90,4,915,9,450000,7222222.22,Venta,650000000,fontibon,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/fontibon/bogota/7921759,9 a 15 años,Apartamento
96,4,3,2,213,213,6,30,3,1640000,4507042.25,Venta,960000000,chico reservado,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico-reservado/bogota/7630880,mas de 30 años,Apartamento
97,2,2,2,80,80,6,18,8,850000,11000000,Venta,880000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7907609,1 a 8 años,Apartamento
98,1,1,1,75,75,6,18,2,490000,7333333.33,Venta,550000000,santa bibiana,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/santa-bibiana/bogota/7903408,1 a 8 años,Apartamento
99,No definida,1,2,70,64,5,18,2,1096000,7714285.71,Venta,Precio total (COP),la castellana,Bogota,No definida,No definida,/inmueble/oficina-en-venta/la-castellana/bogota/7720609,1 a 8 años,Oficina
100,2,3,2,210,210,6,30,2,890000,7380952.38,Venta,1550000000,chico,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/chico/bogota/7420030,mas de 30 años,Apartamento
101,3,4,2,176,176,5,915,10,970000,7102272.73,Venta,1250000000,chapinero alto,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chapinero-alto/bogota/7908671,9 a 15 años,Apartamento
102,2,2,1,70,70,6,1630,3,420000,7285714.29,Venta,510000000,chico norte,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico-norte/bogota/7795487,16 a 30 años,Apartamento
103,11,10,3,572,192,6,30,No definida,No definida,5419580.42,Venta,3100000000,quinta camacho,Bogota,No definida,No definida,/inmueble/casa-en-venta/quinta-camacho/bogota/7172601,mas de 30 años,Casa
104,6,5,4,288,288,6,1630,5,1400000,10069444.44,Venta,2900000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7606457,16 a 30 años,Apartamento
105,2,2,1,85,85,6,1630,5,890000,7000000,Venta,595000000,el virrey,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7909633,16 a 30 años,Apartamento
106,3,2,1,83,77,5,1630,No definida,379000,5542168.67,Venta,460000000,ciudad salitre,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/ciudad-salitre/bogota/7814130,16 a 30 años,Apartamento
107,3,2,No definida,48,44,3,915,6,75000,3541666.67,Venta,170000000,zona franca,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/zona-franca/bogota/7749253,9 a 15 años,Apartamento
108,6,2,No definida,350,256,5,1630,No definida,No definida,3857142.86,Venta,1350000000,centro,Bogota,No definida,No definida,/inmueble/casa-en-venta/centro/pereira/5649415,16 a 30 años,Casa
109,3,3,2,120,120,6,1630,3,900000,5916666.67,Venta,710000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7750724,16 a 30 años,Apartamento
110,No definida,No definida,3,142,142,6,915,8,1500000,14647887.32,Venta,2080000000,santa barbara,Bogota,No definida,Bueno,/inmueble/oficina-en-venta/santa-barbara/bogota/7646911,9 a 15 años,Oficina
111,3,2,No definida,67,67,6,1630,No definida,310000,4776119.4,Venta,320000000,cedritos,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/cedritos/bogota/7100676,16 a 30 años,Apartamento
112,3,2,2,199,199,6,30,1,760000,4773869.35,Venta,950000000,los rosales,Bogota,Loft,Bueno,/inmueble/apartamento-en-venta/los-rosales/bogota/7653284,mas de 30 años,Apartamento
113,4,5,6,716,716,6,30,7,2300000,3212290.5,Venta,2300000000,la carolina,Bogota,Duplex,Remodelado,/inmueble/apartamento-en-venta/la-carolina/bogota/7070241,mas de 30 años,Apartamento
114,3,3,3,170,220,4,1630,1,No definida,5000000,Venta,850000000,modelia,Bogota,No definida,Excelente,/inmueble/casa-en-venta/modelia/bogota/6841828,16 a 30 años,Casa
115,2,2,1,125,125,4,1630,2,560000,5008000,Venta,626000000,chapinero alto,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/chapinero-alto/bogota/7608872,16 a 30 años,Apartamento
116,3,3,1,93,93,6,30,2,455000,4731182.8,Venta,440000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7901072,mas de 30 años,Apartamento
117,3,4,2,157,157,6,1630,3,1700000,6050955.41,Venta,950000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7903221,16 a 30 años,Apartamento
118,4,5,4,363,453,6,915,7,3900000,11707988.98,Venta,4250000000,los rosales,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/los-rosales/bogota/7040149,9 a 15 años,Apartamento
119,1,2,2,60,60,6,30,5,350000,6500000,Venta,390000000,san patricio,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/san-patricio/bogota/7903341,mas de 30 años,Apartamento
120,3,5,2,177,177,5,915,8,860000,9887005.65,Venta,1750000000,el virrey,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/el-virrey/bogota/7584613,9 a 15 años,Apartamento
121,3,2,No definida,55.9,50.8,2,18,8,145000,3220035.78,Venta,180000000,parque empresarial la estancia,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/parque-empresarial-la-estancia/bogota/10096092,1 a 8 años,Apartamento
122,1,2,2,72,69,6,915,4,300000,6666666.67,Venta,480000000,chico reservado,Bogota,Duplex,Bueno,/inmueble/apartamento-en-venta/chico-reservado/bogota/6959589,9 a 15 años,Apartamento
123,2,2,1,60.572,0,4,915,2,No definida,5943340.16,Venta,360000000,bogota,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/bogota/bogota-dc/10138111,9 a 15 años,Apartamento
124,3,3,3,305,305,6,30,5,1375400,8196721.31,Venta,2500000000,el nogal,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/el-nogal/bogota/7705914,mas de 30 años,Apartamento
125,No definida,No definida,No definida,20,0,4,915,No definida,560000,6499500,Venta,129990000,chapinero,Bogota,No definida,Bueno,/inmueble/local-en-venta/chapinero/bogota/7735158,9 a 15 años,Local
126,No definida,No definida,No definida,4496,0,1,1,No definida,7000000,2602313.17,Venta,11700000000,siberia,Bogota,No definida,Excelente,/inmueble/bodega-en-venta/siberia/bogota/6572474,menos de 1 año,Bodega
127,3,2,1,69,0,3,18,5,210000,3768115.94,Venta,260000000,suba,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/suba/bogota/7915537,1 a 8 años,Apartamento
128,3,2,2,96,0,3,1630,2,No definida,2760416.67,Venta,265000000,san andres,Bogota,No definida,Excelente,/inmueble/casa-en-venta/san-andres/bogota/7795761,16 a 30 años,Casa
129,3,2,1,60,59.7,3,915,10,165000,3833333.33,Venta,230000000,nuevo techo,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/nuevo-techo/bogota/7651540,9 a 15 años,Apartamento
130,3,2,1,85,80,4,915,6,295000,5411764.71,Venta,460000000,hayuelos,Bogota,Loft,Excelente,/inmueble/apartamento-en-venta/hayuelos/bogota/7935549,9 a 15 años,Apartamento
131,3,2,1,110,110,4,18,5,700000,6454545.45,Venta,710000000,san fernando occidental,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/san-fernando-occidental/bogota/7229847,1 a 8 años,Apartamento
132,3,2,1,69,0,4,1630,No definida,315000,6202898.55,Venta,428000000,ciudad salitre,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/ciudad-salitre/bogota/10083903,16 a 30 años,Apartamento
133,3,3,2,177,177,6,1630,No definida,680000,5536723.16,Venta,980000000,rincon del chico,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/rincon-del-chico/bogota/7486141,16 a 30 años,Apartamento
134,9,5,No definida,530,530,4,30,2,No definida,3773584.91,Venta,2000000000,marly,Bogota,No definida,No definida,/inmueble/casa-en-venta/marly/bogota/10118513,mas de 30 años,Casa
135,No definida,No definida,No definida,17.45,0,2,30,2,145000,3438395.42,Venta,60000000,la candelaria,Bogota,No definida,No definida,/inmueble/oficina-en-venta/la-candelaria/bogota/10117798,mas de 30 años,Oficina
136,4,4,2,267,267,4,30,2,215000,3707865.17,Venta,990000000,cedro golf,Bogota,No definida,No definida,/inmueble/casa-en-venta/cedro-golf/bogota/10072688,mas de 30 años,Casa
137,2,2,1,132,132,4,30,4,250000,4393939.39,Venta,580000000,porciuncula,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/porciuncula/bogota/7537499,mas de 30 años,Apartamento
138,3,3,1,177,177,6,30,No definida,670000,4802259.89,Venta,850000000,chico alto,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/chico-alto/bogota/7171756,mas de 30 años,Apartamento
139,4,4,2,215,215,6,30,No definida,650000,4418604.65,Venta,950000000,gratamira,Bogota,No definida,No definida,/inmueble/casa-en-venta/gratamira/bogota/6709503,mas de 30 años,Casa
