,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Transacción,Precio,Barrio,Ciudad,Tipo de apartamento,Estado,Link
192,No definida,4.0,No definida,520.0,0.0,3.0,1630.0,Otro,No definida,3942307.69,Venta,2050000000.0,rionegro,Bogotá,No definida,No definida,/inmueble/bodega-en-venta/rionegro/bogota/10044365
193,3.0,2.0,1.0,70.0,0.0,4.0,1.0,9.0,280000.0,7142857.14,Venta,500000000.0,la felicidad,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/la-felicidad/bogota/10083940
194,4.0,3.0,2.0,200.0,200.0,5.0,1630.0,2.0,No definida,3900000.0,Venta,780000000.0,las villas,Bogotá,No definida,Bueno,/inmueble/casa-en-venta/las-villas/bogota/7863111
195,3.0,2.0,1.0,58.0,58.0,3.0,915.0,4.0,No definida,4137931.03,Venta,240000000.0,favidi,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/favidi/bogota/7803581
196,2.0,2.0,No definida,55.0,55.0,3.0,1630.0,3.0,No definida,2945436.36,Venta,161999000.0,lombardia,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/lombardia/bogota/7698207
197,3.0,3.0,2.0,112.0,112.0,4.0,1630.0,3.0,555000.0,4419553.57,Venta,494990000.0,cedro golf,Bogotá,No definida,Bueno,/inmueble/casa-en-venta/cedro-golf/bogota/7974998
198,3.0,2.0,1.0,116.0,116.0,5.0,30.0,2.0,707000.0,4267155.17,Venta,494990000.0,santa rosa,Bogotá,Duplex,Bueno,/inmueble/apartamento-en-venta/santa-rosa/bogota/7923014
199,3.0,2.0,2.0,102.0,0.0,5.0,1630.0,7.0,370000.0,4705882.35,Venta,480000000.0,colina campestre,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/colina-campestre/bogota/7788376
200,3.0,3.0,2.0,117.0,0.0,6.0,30.0,2.0,600000.0,5555555.56,Venta,650000000.0,chico norte,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/chico-norte/bogota/10046080
201,3.0,2.0,1.0,87.0,87.0,4.0,30.0,3.0,170000.0,4827586.21,Venta,420000000.0,nicolas de federman,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/nicolas-de-federman/bogota/7533548
202,3.0,2.0,1.0,90.0,90.0,4.0,1630.0,4.0,420000.0,4333333.33,Venta,390000000.0,cedritos,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/cedritos/bogota/10075398
203,3.0,4.0,3.0,270.0,0.0,6.0,1630.0,10.0,1350000.0,7333333.33,Venta,1980000000.0,molinos norte,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/molinos-norte/bogota/8085413
204,3.0,5.0,2.0,124.0,124.0,4.0,915.0,8.0,629000.0,5120887.1,Venta,634990000.0,cedro golf,Bogotá,Duplex,Bueno,/inmueble/apartamento-en-venta/cedro-golf/bogota/7975779
205,2.0,3.0,2.0,176.0,176.0,6.0,1630.0,12.0,1023000.0,10511363.64,Venta,1850000000.0,los rosales,Bogotá,Duplex,Excelente,/inmueble/apartamento-en-venta/los-rosales/bogota/7754629
206,9.0,5.0,1.0,300.0,290.0,2.0,915.0,3.0,No definida,1066333.33,Venta,319900000.0,villa maria,Bogotá,No definida,Excelente,/inmueble/casa-en-venta/villa-maria/bogota/7807962
207,3.0,4.0,2.0,135.0,126.0,6.0,1.0,1.0,734000.0,10000000.0,Venta,1350000000.0,santa paula,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/santa-paula/bogota/10085118
208,2.0,1.0,1.0,48.0,47.0,2.0,915.0,No definida,No definida,4375000.0,Venta,210000000.0,el carmen,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/el-carmen/bogota/4248419
209,4.0,5.0,3.0,178.0,178.0,3.0,18.0,3.0,No definida,3707865.17,Venta,660000000.0,villa luz,Bogotá,No definida,No definida,/inmueble/casa-en-venta/villa-luz/bogota/10010735
210,4.0,4.0,2.0,160.0,160.0,4.0,30.0,2.0,No definida,4499937.5,Venta,719990000.0,julio florez,Bogotá,No definida,Remodelado,/inmueble/casa-en-venta/julio-florez/bogota/7737894
