,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Transacción,Precio,Barrio,Ciudad,Tipo de apartamento,Estado,Link
532,2.0,3.0,2.0,80.0,0.0,5.0,915.0,4.0,830000.0,7312500.0,Venta,585000000.0,pasadena,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/pasadena/bogota/10088928
533,9.0,5.0,1.0,250.0,0.0,6.0,30.0,2.0,100000.0,6760000.0,Venta,1690000000.0,usaquen,Bogotá,No definida,No definida,/inmueble/casa-en-venta/usaquen/bogota/10105578
534,3.0,No definida,No definida,196.0,136.0,5.0,915.0,No definida,823000.0,6658163.27,Venta,1305000000.0,santa barbara occidental,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/santa-barbara-occidental/bogota/10097028
535,3.0,2.0,1.0,98.0,98.0,4.0,915.0,2.0,No definida,5816326.53,Venta,570000000.0,nicolas de federman,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/nicolas-de-federman/bogota/6824487
536,3.0,2.0,1.0,74.0,0.0,4.0,1630.0,3.0,330000.0,4729729.73,Venta,350000000.0,portales del norte,Bogotá,No definida,No definida,/inmueble/casa-en-venta/portales-del-norte/bogota/10106337
537,2.0,1.0,No definida,42.0,42.0,2.0,915.0,2.0,No definida,2976190.48,Venta,125000000.0,osorio ii,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/osorio-ii/bogota/7957788
538,2.0,2.0,1.0,56.0,56.0,5.0,1630.0,3.0,390000.0,4982142.86,Venta,279000000.0,batan,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/batan/bogota/10097953
539,3.0,2.0,No definida,59.5,0.0,3.0,1630.0,3.0,No definida,2857142.86,Venta,170000000.0,bosa chicala,Bogotá,No definida,No definida,/inmueble/casa-en-venta/bosa-chicala/bogota/10076442
540,2.0,2.0,2.0,85.21,79.77,5.0,1.0,4.0,468655.0,9904142.71,Venta,843932000.0,bella suiza,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/bella-suiza/bogota/10052247
541,2.0,2.0,1.0,60.0,60.0,5.0,30.0,2.0,400000.0,5000000.0,Venta,300000000.0,el contador,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/el-contador/bogota/8101295
542,3.0,2.0,1.0,83.0,79.0,4.0,1630.0,1.0,210000.0,3722891.57,Venta,309000000.0,banco central,Bogotá,Loft,Excelente,/inmueble/apartamento-en-venta/banco-central/bogota/7787743
543,3.0,3.0,2.0,127.0,127.0,5.0,915.0,5.0,580000.0,6220472.44,Venta,790000000.0,lagos de cordoba,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/lagos-de-cordoba/bogota/7740041
544,3.0,2.0,2.0,113.0,113.0,6.0,30.0,No definida,962000.0,4954867.26,Venta,Precio total (COP),rincon del chico,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/rincon-del-chico/bogota/7646648
545,3.0,3.0,2.0,93.95,86.7,5.0,1.0,2.0,516725.0,9745077.17,Venta,915550000.0,bella suiza,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/bella-suiza/bogota/10052222
546,2.0,2.0,2.0,85.21,79.77,5.0,18.0,No definida,468655.0,8664142.71,Venta,738271600.0,bella suiza,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/bella-suiza/bogota/10052289
547,3.0,2.0,1.0,91.0,91.0,4.0,30.0,4.0,338000.0,4340659.34,Venta,395000000.0,usaquen,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/usaquen/bogota/8000339
548,1.0,2.0,1.0,60.87,56.86,5.0,1.0,2.0,350000.0,9474995.89,Venta,576743000.0,bella suiza,Bogotá,No definida,No definida,/inmueble/apartaestudio-en-venta/bella-suiza/bogota/10050208
549,No definida,4.0,2.0,639.0,0.0,3.0,30.0,No definida,No definida,3129890.45,Venta,2000000000.0,santa isabel,Bogotá,No definida,Remodelado,/inmueble/edificio-en-venta/santa-isabel/bogota/6418198
550,No definida,8.0,4.0,900.0,0.0,3.0,30.0,No definida,No definida,1888888.89,Venta,1700000000.0,chapinero norte,Bogotá,No definida,Bueno,/inmueble/local-en-venta/chapinero-norte/bogota/7974986
551,2.0,2.0,1.0,56.0,56.0,3.0,30.0,8.0,220000.0,4982142.86,Venta,279000000.0,las nieves,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/las-nieves/bogota/10116263
552,2.0,2.0,1.0,67.53,0.0,5.0,18.0,12.0,No definida,9181104.69,Venta,620000000.0,pasadena,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/pasadena/bogota/7961367
553,No definida,1.0,No definida,4386.0,0.0,4.0,18.0,No definida,No definida,71976.53,Venta,315689076.0,chico norte,Bogotá,No definida,No definida,/inmueble/oficina-en-venta/chico-norte/bogota/10072082
554,2.0,3.0,2.0,108.0,108.0,6.0,18.0,3.0,1100000.0,9953703.7,Venta,1075000000.0,chico norte,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/chico-norte/bogota/8039512
555,3.0,2.0,1.0,80.0,80.0,4.0,1630.0,4.0,490000.0,4875000.0,Venta,390000000.0,victoria norte,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/victoria-norte/bogota/10098813
556,3.0,2.0,1.0,61.71,61.71,3.0,1630.0,1.0,216000.0,3727110.68,Venta,230000000.0,alta blanca,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/alta-blanca/bogota/10132262
557,2.0,1.0,No definida,42.91,42.91,3.0,1.0,7.0,No definida,4031694.24,Venta,173000000.0,centro fontibon,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/centro-fontibon/bogota/10120699
558,3.0,3.0,1.0,160.0,160.0,3.0,1.0,2.0,No definida,3843750.0,Venta,615000000.0,la almeria,Bogotá,No definida,Excelente,/inmueble/casa-en-venta/la-almeria/bogota/7538063
559,4.0,5.0,2.0,224.0,224.0,4.0,1630.0,3.0,No definida,3973214.29,Venta,890000000.0,normandia occidental,Bogotá,No definida,No definida,/inmueble/casa-en-venta/normandia-occidental/bogota/10116389
560,7.0,4.0,5.0,300.0,280.0,4.0,915.0,2.0,No definida,2333000.0,Venta,699900000.0,centro administrativo occidental,Bogotá,No definida,Excelente,/inmueble/casa-en-venta/centro-administrativo-occidental/bogota/7419365
561,1.0,2.0,1.0,60.87,56.86,5.0,No definida,2.0,5500.0,9974995.89,Venta,607178000.0,bella suiza,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/bella-suiza/bogota/10050230
562,3.0,3.0,2.0,164.0,164.0,6.0,1630.0,3.0,725000.0,5182926.83,Venta,850000000.0,la carolina,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/la-carolina/bogota/10136533
563,2.0,3.0,2.0,92.28,87.28,5.0,1.0,7.0,507540.0,10758560.9,Venta,992800000.0,bella suiza,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/bella-suiza/bogota/10090799
564,3.0,3.0,2.0,93.95,86.7,5.0,1.0,2.0,516725.0,9645077.17,Venta,906155000.0,bella suiza,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/bella-suiza/bogota/10052141
565,4.0,4.0,2.0,280.0,280.0,6.0,1630.0,No definida,1400000.0,6428571.43,Venta,1800000000.0,centro comercial andino,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/centro-comercial-andino/bogota/6633866
566,4.0,5.0,2.0,300.0,200.0,4.0,915.0,2.0,15000.0,4333333.33,Venta,1300000000.0,la esperanza,Bogotá,No definida,No definida,/inmueble/casa-en-venta/la-esperanza/bogota/10134629
567,4.0,3.0,2.0,225.0,225.0,5.0,915.0,No definida,750000.0,3644444.44,Venta,820000000.0,colina campestre,Bogotá,No definida,Excelente,/inmueble/casa-en-venta/colina-campestre/bogota/7787415
568,3.0,2.0,No definida,56.0,54.0,2.0,18.0,5.0,80000.0,3017857.14,Venta,169000000.0,parque empresarial la estancia,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/parque-empresarial-la-estancia/bogota/10110192
569,4.0,2.0,2.0,77.0,77.0,3.0,1630.0,1.0,234000.0,3467532.47,Venta,267000000.0,rincon del norte,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/rincon-del-norte/bogota/10114642
570,3.0,2.0,No definida,60.0,60.0,2.0,18.0,3.0,70000.0,2750000.0,Venta,165000000.0,kennedy,Bogotá,No definida,No definida,/inmueble/casa-en-venta/kennedy/bogota/7951193
571,3.0,2.0,2.0,110.0,110.0,3.0,915.0,2.0,170000.0,4081818.18,Venta,449000000.0,castilla,Bogotá,No definida,No definida,/inmueble/casa-en-venta/castilla/bogota/7870035
572,2.0,1.0,No definida,36.0,0.0,2.0,1630.0,3.0,62000.0,3305555.56,Venta,119000000.0,campanella,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/campanella/bogota/10065810
573,3.0,2.0,1.0,67.0,67.0,2.0,915.0,6.0,90000.0,3432835.82,Venta,230000000.0,tintal,Bogotá,Loft,Excelente,/inmueble/apartamento-en-venta/tintal/bogota/6501394
574,3.0,3.0,1.0,114.0,114.0,4.0,30.0,No definida,370000.0,3464912.28,Venta,Precio total (COP),nicolas de federman,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/nicolas-de-federman/bogota/7897163
575,3.0,2.0,2.0,111.13,111.13,5.0,1630.0,4.0,745000.0,5000000.0,Venta,555650000.0,la sultana,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/la-sultana/bogota/10129732
576,1.0,1.0,No definida,51.0,51.0,3.0,1630.0,8.0,360000.0,4607843.14,Venta,235000000.0,las nieves,Bogotá,Loft,Excelente,/inmueble/apartamento-en-venta/las-nieves/bogota/6537862
577,3.0,2.0,1.0,58.53,54.0,2.0,915.0,4.0,80000.0,2989919.7,Venta,175000000.0,nueva castilla,Bogotá,No definida,Bueno,/inmueble/casa-en-venta/nueva-castilla/bogota/7422015
578,3.0,3.0,2.0,80.0,80.0,3.0,915.0,7.0,305000.0,4750000.0,Venta,380000000.0,cantalejo,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/cantalejo/bogota/10101633
579,3.0,3.0,2.0,129.0,129.0,5.0,30.0,1.0,1109000.0,3868217.05,Venta,Precio total (COP),bosque de pinos,Bogotá,Duplex,Excelente,/inmueble/apartamento-en-venta/bosque-de-pinos/bogota/7641292
580,3.0,3.0,2.0,110.0,101.0,5.0,915.0,6.0,500000.0,5436363.64,Venta,598000000.0,alejandria,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/alejandria/bogota/10105517
581,3.0,3.0,2.0,130.0,123.0,5.0,915.0,8.0,1092000.0,7076923.08,Venta,920000000.0,antiguo country,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/antiguo-country/bogota/6193288
582,3.0,2.0,4.0,220.0,220.0,6.0,1630.0,2.0,1100000.0,7272727.27,Venta,1600000000.0,el nogal,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/el-nogal/bogota/7752721
583,2.0,1.0,1.0,55.0,48.9,3.0,1630.0,5.0,No definida,4818181.82,Venta,265000000.0,la macarena,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/la-macarena/bogota/10080825
584,1.0,1.0,1.0,50.0,50.0,4.0,18.0,3.0,275000.0,7300000.0,Venta,365000000.0,parque central bavaria,Bogotá,Loft,Excelente,/inmueble/apartamento-en-venta/parque-central-bavaria/bogota/7921622
585,1.0,1.0,1.0,32.47,0.0,3.0,18.0,3.0,100000.0,7237449.95,Venta,235000000.0,santa maria del lago,Bogotá,No definida,Excelente,/inmueble/apartaestudio-en-venta/santa-maria-del-lago/bogota/7904481
586,3.0,5.0,3.0,334.0,334.0,5.0,1630.0,No definida,2018300.0,4191616.77,Venta,1400000000.0,puente largo,Bogotá,PentHouse,Bueno,/inmueble/apartamento-en-venta/puente-largo/bogota/2834896
587,2.0,1.0,1.0,40.0,35.0,4.0,30.0,No definida,269000.0,5500000.0,Venta,220000000.0,cedritos,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/cedritos/bogota/7864837
588,3.0,3.0,1.0,68.0,68.0,3.0,915.0,3.0,230000.0,3676470.59,Venta,250000000.0,britalia,Bogotá,No definida,No definida,/inmueble/casa-en-venta/britalia/bogota/10114753
589,3.0,4.0,3.0,286.5,287.0,6.0,1630.0,7.0,2200000.0,7678883.07,Venta,2200000000.0,los rosales,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/los-rosales/bogota/6564133
590,3.0,2.0,1.0,76.0,76.0,5.0,1630.0,6.0,279000.0,5131578.95,Venta,390000000.0,gratamira,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/gratamira/bogota/7588543
591,3.0,2.0,2.0,115.0,115.0,3.0,18.0,3.0,160000.0,4060869.57,Venta,467000000.0,castilla,Bogotá,No definida,No definida,/inmueble/casa-en-venta/castilla/bogota/7495404
592,3.0,2.0,2.0,99.0,99.0,5.0,18.0,11.0,371000.0,8989898.99,Venta,890000000.0,lagos de cordoba,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/lagos-de-cordoba/bogota/10073338
593,3.0,2.0,1.0,75.0,0.0,4.0,18.0,2.0,395000.0,5266666.67,Venta,395000000.0,colina campestre,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/colina-campestre/bogota/6999586
594,3.0,2.0,1.0,56.0,53.0,3.0,915.0,5.0,224000.0,4857142.86,Venta,272000000.0,cerros de suba,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/cerros-de-suba/bogota/10122782
595,4.0,4.0,2.0,280.0,280.0,6.0,1630.0,No definida,1400000.0,6428571.43,Venta,1800000000.0,centro comercial andino,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/centro-comercial-andino/bogota/6633866
596,3.0,2.0,No definida,65.0,64.0,3.0,915.0,3.0,200000.0,3461538.46,Venta,225000000.0,el dorado,Bogotá,Duplex,No definida,/inmueble/apartamento-en-venta/el-dorado/bogota/10088206
597,3.0,3.0,2.0,122.0,122.0,5.0,18.0,15.0,420000.0,5573770.49,Venta,680000000.0,ciudad jardin norte,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/ciudad-jardin-norte/bogota/7859638
598,4.0,4.0,2.0,162.7,163.0,6.0,1630.0,4.0,1148420.0,5838967.42,Venta,950000000.0,chico norte,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/chico-norte/bogota/7552091
599,3.0,4.0,2.0,146.69,146.69,4.0,1630.0,3.0,607100.0,4431113.23,Venta,650000000.0,parques de lorena,Bogotá,No definida,No definida,/inmueble/casa-en-venta/parques-de-lorena/bogota/10072702
600,3.0,2.0,1.0,62.0,0.0,3.0,1630.0,5.0,140000.0,4354838.71,Venta,270000000.0,comuneros,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/comuneros/bogota/10093367
601,3.0,2.0,1.0,87.0,0.0,3.0,18.0,3.0,350000.0,5287356.32,Venta,460000000.0,san andresito,Bogotá,Loft,Excelente,/inmueble/apartamento-en-venta/san-andresito/bogota/7981039
602,No definida,3.0,No definida,670.4,584.0,6.0,30.0,1.0,No definida,2386634.84,Venta,1600000000.0,modelo sur,Bogotá,No definida,Remodelado,/inmueble/bodega-en-venta/modelo-sur/bogota/7386613
603,3.0,5.0,6.0,252.0,252.0,5.0,18.0,No definida,720000.0,4761904.76,Venta,1200000000.0,cr las huertas de cajica club residencial,Bogotá,No definida,Bueno,/inmueble/casa-en-venta/cr-las-huertas-de-cajica-club-residencial/cajica/8072831
604,2.0,2.0,2.0,76.0,70.0,4.0,915.0,3.0,460000.0,5657894.74,Venta,430000000.0,cedritos,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/cedritos/bogota/10098284
605,3.0,4.0,2.0,160.73,161.0,6.0,1630.0,2.0,850000.0,4977291.11,Venta,800000000.0,chico,Bogotá,Duplex,Excelente,/inmueble/apartamento-en-venta/chico/bogota/7639238
606,3.0,3.0,2.0,147.37,147.37,5.0,30.0,2.0,820000.0,6514215.92,Venta,960000000.0,country club,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/country-club/bogota/10077242
607,1.0,2.0,1.0,45.0,42.0,6.0,30.0,4.0,417000.0,8111111.11,Venta,365000000.0,chico norte,Bogotá,Loft,Excelente,/inmueble/apartaestudio-en-venta/chico-norte/bogota/7861192
608,2.0,1.0,1.0,62.0,0.0,4.0,18.0,3.0,350000.0,5403225.81,Venta,335000000.0,gratamira,Bogotá,Loft,Excelente,/inmueble/apartamento-en-venta/gratamira/bogota/6567944
609,3.0,2.0,No definida,127.33,0.0,3.0,1630.0,No definida,No definida,3534123.93,Venta,450000000.0,chapinero,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/chapinero/bogota/10083966
610,3.0,2.0,1.0,98.0,0.0,4.0,1630.0,3.0,322000.0,4234693.88,Venta,415000000.0,ferrocaja fontibon,Bogotá,No definida,No definida,/inmueble/casa-en-venta/ferrocaja-fontibon/bogota/10070691
611,4.0,4.0,1.0,168.0,168.0,3.0,1630.0,4.0,No definida,2500000.0,Venta,420000000.0,florida blanca,Bogotá,No definida,Excelente,/inmueble/casa-en-venta/florida-blanca/bogota/6782419
612,1.0,1.0,1.0,50.0,40.0,4.0,1630.0,1.0,200000.0,4200000.0,Venta,210000000.0,cedritos,Bogotá,No definida,No definida,/inmueble/apartaestudio-en-venta/cedritos/bogota/8074044
613,3.0,3.0,1.0,140.0,0.0,4.0,30.0,No definida,610000.0,4250000.0,Venta,595000000.0,cedritos,Bogotá,No definida,Excelente,/inmueble/casa-en-venta/cedritos/bogota/5549226
614,2.0,3.0,2.0,75.0,0.0,4.0,18.0,9.0,490000.0,6253333.33,Venta,469000000.0,cedritos,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/cedritos/bogota/10064390
615,3.0,4.0,2.0,143.0,132.72,6.0,18.0,5.0,915000.0,7342657.34,Venta,1050000000.0,santa barbara,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/santa-barbara/bogota/10093409
616,3.0,2.0,No definida,58.0,58.0,3.0,18.0,No definida,No definida,4827586.21,Venta,280000000.0,ub ciudad kennedy sur,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/ub-ciudad-kennedy-sur/bogota/7849258
617,3.0,1.0,No definida,47.43,0.0,2.0,915.0,No definida,60000.0,2930636.52,Venta,139000090.0,san bernardino xxii,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/san-bernardino-xxii/bogota/10102455
618,5.0,3.0,2.0,103.56,104.0,3.0,1630.0,1.0,194000.0,4924681.34,Venta,510000000.0,el rincon de los angeles,Bogotá,No definida,Bueno,/inmueble/casa-en-venta/el-rincon-de-los-angeles/bogota/7981475
619,3.0,2.0,1.0,74.0,0.0,4.0,1630.0,4.0,No definida,3689189.18,Venta,272999999.0,pinar de suba,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/pinar-de-suba/bogota/7925586
620,4.0,5.0,2.0,215.0,270.0,5.0,1630.0,5.0,1400000.0,5674418.6,Venta,1220000000.0,santa barbara occidental,Bogotá,Duplex,Excelente,/inmueble/apartamento-en-venta/santa-barbara-occidental/bogota/6922585
621,3.0,4.0,2.0,200.0,0.0,6.0,1630.0,2.0,904698.0,4975000.0,Venta,995000000.0,unicentro bogota,Bogotá,Loft,Excelente,/inmueble/apartamento-en-venta/unicentro-bogota/bogota/3804222
622,3.0,2.0,1.0,75.0,0.0,4.0,18.0,2.0,395000.0,5266666.67,Venta,395000000.0,colina campestre,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/colina-campestre/bogota/6999586
623,3.0,3.0,2.0,185.0,185.0,6.0,30.0,3.0,1050000.0,5945945.95,Venta,1100000000.0,suba,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/suba/bogota/7642860
624,1.0,1.0,1.0,43.0,37.0,4.0,18.0,3.0,230000.0,6906976.74,Venta,297000000.0,colseguros,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/colseguros/bogota/10126857
625,3.0,2.0,1.0,60.0,0.0,3.0,1630.0,1.0,No definida,4750000.0,Venta,285000000.0,el rincon de los angeles,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/el-rincon-de-los-angeles/bogota/10114311
626,3.0,2.0,1.0,60.9,58.9,3.0,18.0,4.0,50000.0,3612479.47,Venta,220000000.0,engativa,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/engativa/bogota/10141176
627,3.0,2.0,1.0,60.0,56.0,4.0,915.0,Otro,220000.0,4233333.33,Venta,254000000.0,gran granada,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/gran-granada/bogota/10119638
628,3.0,1.0,No definida,53.0,0.0,3.0,30.0,No definida,70000.0,3490566.04,Venta,185000000.0,timiza,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/timiza/bogota/10055646
629,3.0,2.0,3.0,217.0,217.0,4.0,30.0,2.0,No definida,3156682.03,Venta,685000000.0,las margaritas,Bogotá,No definida,No definida,/inmueble/casa-en-venta/las-margaritas/bogota/7058575
630,3.0,1.0,No definida,47.0,47.0,2.0,18.0,14.0,118750.0,2808510.64,Venta,132000000.0,tintalito,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/tintalito/bogota/7330788
631,8.0,4.0,1.0,216.0,72.0,2.0,915.0,3.0,No definida,1666666.67,Venta,360000000.0,kennedy,Bogotá,No definida,Excelente,/inmueble/casa-en-venta/kennedy/bogota/4733115
632,No definida,No definida,No definida,804.0,0.0,3.0,1630.0,No definida,No definida,3358208.96,Venta,2700000000.0,puente aranda,Bogotá,No definida,Bueno,/inmueble/bodega-en-venta/puente-aranda/bogota/7434385
633,3.0,2.0,2.0,94.0,0.0,4.0,18.0,10.0,412000.0,4680851.06,Venta,440000000.0,gran granada,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/gran-granada/bogota/10120975
634,2.0,1.0,No definida,38.0,38.0,2.0,18.0,2.0,82000.0,3157894.74,Venta,120000000.0,tierra buena,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/tierra-buena/bogota/10119056
635,3.0,2.0,1.0,69.0,0.0,4.0,1.0,5.0,380000.0,5507246.38,Venta,380000000.0,santa teresa,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/santa-teresa/bogota/6858566
636,3.0,2.0,1.0,64.0,0.0,3.0,915.0,5.0,170000.0,4765625.0,Venta,305000000.0,alamos,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/alamos/bogota/10144121
637,3.0,2.0,1.0,75.0,75.0,3.0,915.0,11.0,220000.0,4400000.0,Venta,330000000.0,britalia norte,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/britalia-norte/bogota/7961480
638,3.0,2.0,1.0,69.0,0.0,4.0,1.0,10.0,328000.0,5652173.91,Venta,390000000.0,el redil,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/el-redil/bogota/7059692
639,1.0,2.0,1.0,51.0,51.0,4.0,915.0,10.0,236000.0,7058823.53,Venta,360000000.0,chapinero alto,Bogotá,Loft,Bueno,/inmueble/apartamento-en-venta/chapinero-alto/bogota/7974991
640,3.0,3.0,2.0,128.0,120.0,5.0,915.0,2.0,701000.0,6093750.0,Venta,780000000.0,lagos de cordoba,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/lagos-de-cordoba/bogota/7862968
641,3.0,2.0,No definida,64.0,64.0,3.0,1630.0,5.0,220000.0,3437500.0,Venta,220000000.0,plazuelas del virrey,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/plazuelas-del-virrey/bogota/10133237
642,3.0,2.0,1.0,68.0,0.0,3.0,915.0,3.0,235000.0,4139705.88,Venta,281500000.0,suba urbano,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/suba-urbano/bogota/10144134
643,3.0,2.0,1.0,69.0,0.0,4.0,1.0,11.0,328000.0,5652173.91,Venta,390000000.0,colina campestre,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/colina-campestre/bogota/7059732
644,2.0,2.0,1.0,65.0,61.0,6.0,1630.0,4.0,558000.0,7923076.92,Venta,515000000.0,el virrey,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/el-virrey/bogota/10122217
645,3.0,2.0,1.0,80.0,0.0,3.0,18.0,3.0,240000.0,4812500.0,Venta,385000000.0,prado pinzon,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/prado-pinzon/bogota/10119683
646,4.0,3.0,1.0,88.0,80.0,4.0,1630.0,1.0,300000.0,5511363.64,Venta,485000000.0,rafael nunez,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/rafael-nunez/bogota/10093355
647,3.0,2.0,1.0,58.0,0.0,3.0,1630.0,3.0,160000.0,4396551.72,Venta,255000000.0,alamos,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/alamos/bogota/7903867
648,3.0,3.0,2.0,102.0,95.0,6.0,18.0,4.0,430000.0,5833333.33,Venta,595000000.0,club de los lagartos,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/club-de-los-lagartos/bogota/7824339
649,7.0,4.0,1.0,250.0,0.0,3.0,1630.0,3.0,No definida,2000000.0,Venta,500000000.0,garces navas,Bogotá,No definida,No definida,/inmueble/casa-en-venta/garces-navas/bogota/10121991
650,3.0,2.0,1.0,59.0,58.0,2.0,915.0,4.0,72000.0,2661016.95,Venta,157000000.0,el tintal,Bogotá,No definida,No definida,/inmueble/casa-en-venta/el-tintal/bogota/10100836
651,3.0,2.0,3.0,137.0,0.0,3.0,30.0,2.0,No definida,3065693.43,Venta,420000000.0,villa luz,Bogotá,No definida,No definida,/inmueble/casa-en-venta/villa-luz/bogota/10119477
652,4.0,2.0,1.0,76.0,0.0,3.0,1630.0,4.0,244000.0,4315789.47,Venta,328000000.0,las dos avenidas,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/las-dos-avenidas/bogota/10144167
653,No definida,1.0,No definida,43.0,0.0,3.0,30.0,4.0,412000.0,2534883.72,Venta,109000000.0,la candelaria,Bogotá,No definida,Excelente,/inmueble/oficina-en-venta/la-candelaria/bogota/7071883
654,1.0,1.0,1.0,27.0,27.0,3.0,1.0,4.0,190000.0,9625925.93,Venta,259900000.0,chapinero,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/chapinero/bogota/10108942
655,3.0,3.0,3.0,180.0,180.0,4.0,30.0,2.0,No definida,3805555.56,Venta,685000000.0,normandia,Bogotá,No definida,Bueno,/inmueble/casa-en-venta/normandia/bogota/5470252
656,4.0,3.0,1.0,100.0,94.5,4.0,30.0,3.0,100000.0,3500000.0,Venta,350000000.0,normandia,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/normandia/bogota/10118132
657,5.0,4.0,1.0,93.1,70.0,3.0,1630.0,3.0,No definida,6015037.59,Venta,560000000.0,marsella,Bogotá,No definida,No definida,/inmueble/casa-en-venta/marsella/bogota/10105773
658,3.0,2.0,1.0,108.0,108.0,4.0,30.0,5.0,270000.0,3611111.11,Venta,390000000.0,san gabriel norte,Bogotá,Duplex,Excelente,/inmueble/apartamento-en-venta/san-gabriel-norte/bogota/7915344
659,3.0,3.0,1.0,84.0,84.0,4.0,1630.0,5.0,230000.0,4523809.52,Venta,380000000.0,portales del norte,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/portales-del-norte/bogota/6748821
660,4.0,3.0,2.0,240.0,0.0,4.0,1630.0,3.0,332000.0,4104166.67,Venta,985000000.0,cedro golf,Bogotá,No definida,Bueno,/inmueble/casa-en-venta/cedro-golf/bogota/7460236
661,No definida,No definida,No definida,21000.0,0.0,2.0,No definida,No definida,No definida,44285.71,Venta,930000000.0,hoya teusaca,Bogotá,No definida,No definida,/inmueble/finca-en-venta/hoya-teusaca/bogota/6582983
